TOKEN,REGEX,PROGRAM,CLASS_DECLARATION,CLASS_BODY,METHOD_DECLARATION,FORMAL_PARAMETERS,BLOCK,METHOD_INVOCATION,LEAVES
},O,I-PROGRAM,O-CLASS_DECLARATION,O-CLASS_BODY,O-RBRACE,O-RBRACE,O-RBRACE,O-RBRACE,O-RBRACE
for,camel_case,I-PROGRAM,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD
(,O,I-PROGRAM,O-LPAR,O-LPAR,O-LPAR,O-LPAR,O-LPAR,O-LPAR,O-LPAR
int,camel_case,I-PROGRAM,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD
i,single_letter,I-PROGRAM,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT
=,O,I-PROGRAM,O-EQUAL,O-EQUAL,O-EQUAL,O-EQUAL,O-EQUAL,O-EQUAL,O-EQUAL
0,O,I-PROGRAM,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL
;,O,I-PROGRAM,O-SEMI,O-SEMI,O-SEMI,O-SEMI,O-SEMI,O-SEMI,O-SEMI
i,single_letter,I-PROGRAM,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT
<,O,I-PROGRAM,O-LESS,O-LESS,O-LESS,O-LESS,O-LESS,O-LESS,O-LESS
10,O,I-PROGRAM,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL,O-DECIMAL_INTEGER_LITERAL
;,O,I-PROGRAM,O-SEMI,O-SEMI,O-SEMI,O-SEMI,O-SEMI,O-SEMI,O-SEMI
i,single_letter,I-PROGRAM,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT,O-IDENT
++,O,I-PROGRAM,O-DOUBLEPLUS,O-DOUBLEPLUS,O-DOUBLEPLUS,O-DOUBLEPLUS,O-DOUBLEPLUS,O-DOUBLEPLUS,O-DOUBLEPLUS
),O,I-PROGRAM,O-RPAR,O-RPAR,O-RPAR,O-RPAR,O-RPAR,O-RPAR,O-RPAR
{,O,I-PROGRAM,O-LBRACE,O-LBRACE,O-LBRACE,O-LBRACE,B-BLOCK,O-LBRACE,O-LBRACE
System,pascal_case,I-PROGRAM,O-IDENT,O-IDENT,O-IDENT,O-IDENT,I-BLOCK,B-METHOD_INVOCATION,O-IDENT
.,O,I-PROGRAM,O-DOT,O-DOT,O-DOT,O-DOT,I-BLOCK,I-METHOD_INVOCATION,O-DOT
out,camel_case,I-PROGRAM,O-IDENT,O-IDENT,O-IDENT,O-IDENT,I-BLOCK,I-METHOD_INVOCATION,O-IDENT
.,O,I-PROGRAM,O-DOT,O-DOT,O-DOT,O-DOT,I-BLOCK,I-METHOD_INVOCATION,O-DOT
println,camel_case,I-PROGRAM,O-IDENT,O-IDENT,O-IDENT,O-IDENT,I-BLOCK,I-METHOD_INVOCATION,O-IDENT
(,O,I-PROGRAM,O-LPAR,O-LPAR,O-LPAR,O-LPAR,I-BLOCK,I-METHOD_INVOCATION,O-LPAR
i,single_letter,I-PROGRAM,O-IDENT,O-IDENT,O-IDENT,O-IDENT,I-BLOCK,I-METHOD_INVOCATION,O-IDENT
),O,I-PROGRAM,O-RPAR,O-RPAR,O-RPAR,O-RPAR,I-BLOCK,O-METHOD_INVOCATION,O-RPAR
;,O,I-PROGRAM,O-SEMI,O-SEMI,O-SEMI,O-SEMI,I-BLOCK,O-SEMI,O-SEMI
},O,I-PROGRAM,O-RBRACE,O-RBRACE,O-RBRACE,O-RBRACE,O-BLOCK,O-RBRACE,O-RBRACE
public,camel_case,I-PROGRAM,O-KEYWORD,O-KEYWORD,B-METHOD_DECLARATION,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD
int,camel_case,I-PROGRAM,O-KEYWORD,O-KEYWORD,I-METHOD_DECLARATION,O-KEYWORD,O-KEYWORD,O-KEYWORD,O-KEYWORD
addNumbers,camel_case,I-PROGRAM,O-IDENT,O-IDENT,I-METHOD_DECLARATION,O-IDENT,O-IDENT,O-IDENT,O-IDENT
(,O,I-PROGRAM,O-LPAR,O-LPAR,I-METHOD_DECLARATION,B-FORMAL_PARAMETERS,O-LPAR,O-LPAR,O-LPAR
a,single_letter,I-PROGRAM,O-TYPE_IDENTIFIER,O-TYPE_IDENTIFIER,I-METHOD_DECLARATION,I-FORMAL_PARAMETERS,O-TYPE_IDENTIFIER,O-TYPE_IDENTIFIER,O-TYPE_IDENTIFIER
",",O,I-PROGRAM,O-COMMA,O-COMMA,I-METHOD_DECLARATION,I-FORMAL_PARAMETERS,O-COMMA,O-COMMA,O-COMMA
b,single_letter,I-PROGRAM,O-IDENT,O-IDENT,I-METHOD_DECLARATION,I-FORMAL_PARAMETERS,O-IDENT,O-IDENT,O-IDENT
),O,I-PROGRAM,O-RPAR,O-RPAR,I-METHOD_DECLARATION,O-FORMAL_PARAMETERS,O-RPAR,O-RPAR,O-RPAR
{,O,I-PROGRAM,O-LBRACE,O-LBRACE,I-METHOD_DECLARATION,O-LBRACE,B-BLOCK,O-LBRACE,O-LBRACE
return,camel_case,I-PROGRAM,O-KEYWORD,O-KEYWORD,I-METHOD_DECLARATION,O-KEYWORD,I-BLOCK,O-KEYWORD,O-KEYWORD
a,single_letter,I-PROGRAM,O-IDENT,O-IDENT,I-METHOD_DECLARATION,O-IDENT,I-BLOCK,O-IDENT,O-IDENT
+,O,I-PROGRAM,O-PLUS,O-PLUS,I-METHOD_DECLARATION,O-PLUS,I-BLOCK,O-PLUS,O-PLUS
b,single_letter,I-PROGRAM,O-IDENT,O-IDENT,I-METHOD_DECLARATION,O-IDENT,I-BLOCK,O-IDENT,O-IDENT
;,O,I-PROGRAM,O-SEMI,O-SEMI,I-METHOD_DECLARATION,O-SEMI,I-BLOCK,O-SEMI,O-SEMI
},O,O-PROGRAM,O-RBRACE,O-RBRACE,O-METHOD_DECLARATION,O-RBRACE,O-BLOCK,O-RBRACE,O-RBRACE
